117th results => Agent cycle: 201, Added: 2953, InQLoss: 11.6287, ExQLoss: 0.0074, EmbeddingLoss: 1.5820, LifeLongLoss: 0.00000001 
118th results => Agent cycle: 175, Added: 2818, InQLoss: 11.7217, ExQLoss: 0.0090, EmbeddingLoss: 1.5821, LifeLongLoss: 0.00000001 
119th results => Agent cycle: 179, Added: 2727, InQLoss: 11.1636, ExQLoss: 0.0076, EmbeddingLoss: 1.5869, LifeLongLoss: 0.00000001 
120th results => Agent cycle: 176, Added: 2771, InQLoss: 13.1626, ExQLoss: 0.0089, EmbeddingLoss: 1.5926, LifeLongLoss: 0.00000001 
121th results => Agent cycle: 166, Added: 2774, InQLoss: 11.5735, ExQLoss: 0.0071, EmbeddingLoss: 1.5890, LifeLongLoss: 0.00000001 
122th results => Agent cycle: 170, Added: 2709, InQLoss: 14.2932, ExQLoss: 0.0078, EmbeddingLoss: 1.5689, LifeLongLoss: 0.00000001 
123th results => Agent cycle: 168, Added: 5337, InQLoss: 13.5858, ExQLoss: 0.0078, EmbeddingLoss: 1.5978, LifeLongLoss: 0.00000001 
124th results => Agent cycle: 159, Added: 3099, InQLoss: 12.9635, ExQLoss: 0.0063, EmbeddingLoss: 1.5843, LifeLongLoss: 0.00000001 
125th results => Agent cycle: 163, Added: 3138, InQLoss: 12.7699, ExQLoss: 0.0079, EmbeddingLoss: 1.5973, LifeLongLoss: 0.00000001 
126th results => Agent cycle: 156, Added: 2963, InQLoss: 11.9067, ExQLoss: 0.0070, EmbeddingLoss: 1.6039, LifeLongLoss: 0.00000001 
127th results => Agent cycle: 159, Added: 3011, InQLoss: 11.4262, ExQLoss: 0.0071, EmbeddingLoss: 1.6145, LifeLongLoss: 0.00000001 
128th results => Agent cycle: 160, Added: 2993, InQLoss: 12.8885, ExQLoss: 0.0068, EmbeddingLoss: 1.6085, LifeLongLoss: 0.00000001 
129th results => Agent cycle: 164, Added: 3000, InQLoss: 11.5886, ExQLoss: 0.0068, EmbeddingLoss: 1.6018, LifeLongLoss: 0.00000001 
130th results => Agent cycle: 168, Added: 3107, InQLoss: 13.2921, ExQLoss: 0.0079, EmbeddingLoss: 1.6079, LifeLongLoss: 0.00000001 
131th results => Agent cycle: 174, Added: 2912, InQLoss: 12.5649, ExQLoss: 0.0067, EmbeddingLoss: 1.5970, LifeLongLoss: 0.00000001 
132th results => Agent cycle: 162, Added: 2887, InQLoss: 13.8079, ExQLoss: 0.0074, EmbeddingLoss: 1.6145, LifeLongLoss: 0.00000001 
133th results => Agent cycle: 166, Added: 2974, InQLoss: 11.6703, ExQLoss: 0.0082, EmbeddingLoss: 1.5953, LifeLongLoss: 0.00000001 
134th results => Agent cycle: 157, Added: 5474, InQLoss: 11.6681, ExQLoss: 0.0080, EmbeddingLoss: 1.6153, LifeLongLoss: 0.00000001 
135th results => Agent cycle: 147, Added: 2962, InQLoss: 10.2091, ExQLoss: 0.0080, EmbeddingLoss: 1.6342, LifeLongLoss: 0.00000003 
136th results => Agent cycle: 151, Added: 3421, InQLoss: 9.6285, ExQLoss: 0.0058, EmbeddingLoss: 1.6303, LifeLongLoss: 0.00000002 
137th results => Agent cycle: 163, Added: 2930, InQLoss: 8.7249, ExQLoss: 0.0054, EmbeddingLoss: 1.6393, LifeLongLoss: 0.00000002 
138th results => Agent cycle: 155, Added: 5411, InQLoss: 9.1773, ExQLoss: 0.0062, EmbeddingLoss: 1.6486, LifeLongLoss: 0.00000002 
139th results => Agent cycle: 148, Added: 3208, InQLoss: 9.0577, ExQLoss: 0.0053, EmbeddingLoss: 1.6536, LifeLongLoss: 0.00000002 
140th results => Agent cycle: 154, Added: 3674, InQLoss: 8.9423, ExQLoss: 0.0052, EmbeddingLoss: 1.6572, LifeLongLoss: 0.00000002 
141th results => Agent cycle: 161, Added: 3208, InQLoss: 9.2739, ExQLoss: 0.0055, EmbeddingLoss: 1.6420, LifeLongLoss: 0.00000001 
142th results => Agent cycle: 164, Added: 3529, InQLoss: 9.0127, ExQLoss: 0.0055, EmbeddingLoss: 1.6397, LifeLongLoss: 0.00000002 
143th results => Agent cycle: 160, Added: 2897, InQLoss: 9.5776, ExQLoss: 0.0054, EmbeddingLoss: 1.6309, LifeLongLoss: 0.00000002 
144th results => Agent cycle: 164, Added: 3096, InQLoss: 9.2321, ExQLoss: 0.0063, EmbeddingLoss: 1.6424, LifeLongLoss: 0.00000002 
145th results => Agent cycle: 142, Added: 3088, InQLoss: 8.6859, ExQLoss: 0.0054, EmbeddingLoss: 1.6361, LifeLongLoss: 0.00000001 
146th results => Agent cycle: 146, Added: 2935, InQLoss: 10.1016, ExQLoss: 0.0050, EmbeddingLoss: 1.6354, LifeLongLoss: 0.00000001 
147th results => Agent cycle: 156, Added: 2953, InQLoss: 10.1085, ExQLoss: 0.0045, EmbeddingLoss: 1.6216, LifeLongLoss: 0.00000002 
148th results => Agent cycle: 145, Added: 2911, InQLoss: 10.5515, ExQLoss: 0.0054, EmbeddingLoss: 1.6127, LifeLongLoss: 0.00000002 
149th results => Agent cycle: 153, Added: 5362, InQLoss: 9.2255, ExQLoss: 0.0058, EmbeddingLoss: 1.6283, LifeLongLoss: 0.00000002 
150th results => Agent cycle: 161, Added: 3145, InQLoss: 11.1282, ExQLoss: 0.0057, EmbeddingLoss: 1.6044, LifeLongLoss: 0.00000003 
151th results => Agent cycle: 153, Added: 2869, InQLoss: 11.0532, ExQLoss: 0.0056, EmbeddingLoss: 1.5960, LifeLongLoss: 0.00000002 
